subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
Can Birth Control packs come in various shapes? or just circles?,"My girlfriend and I are just trying to figure out this mystery because her mom tells her that her birth control is not ""real"" and that it only regulates her period (she had a previous anemia problem)

The box that it comes in is Yasmin which i know is Birth Control but the pack of pills is not a circle, but rectangular? 

Is this normal? 

Her mom told her to tell her when she was gonna start being sexually active so she could change it to real birth control.

I just want to reassured this is just a typical motherly scare, is it even possible to have fake birth control?","Yes of course it comes in different shapes. Her mom is probably telling her lies hoping she doesn't have sex yet. If your girlfriend is worried about it that badly then tell her to take the pack to a pharmacy at the local drugstore and they will tell her the truth.

This is what Yasmin is supposed to look like in the pack - http://www.rx-2u.com/images/yasmin.gif

But also, women can take birth control to regulate their periods but still...it is birth control.",If your girlfriend is worried about it that badly then tell her to take the pack to a pharmacy at the local drugstore and they will tell her the truth.,Women's Health,Health,Women's Health,,,,information
Wine and blood pressure?,"hi, why does blood pressure still stay pretty high a day or two later after having red wine?  is this normal?  

thanks",You are about to have a heart attack and die?,You are about to have a heart attack and die?,First Aid,Health,General Health Care,,,,information
I recently found a lump in my breast.?,"I had an US and mammogram, which showed nothing.  How can I be sure it truely is nothing?  There were also what they called ""calcifications"" in the other breast and some ""shadowing"".  Is this anything to be concerned with?","If you are truly concerned, consider getting a second opinion from a doctor of your own choosing, NOT one that's been recommended by the doc that gave you the first reading.  That way you know there are no conflicting interests.

Sometimes a lump is just a lump.  Breasts get lumpy during certain times of the month, and goes along with normal cycles.  Calcifications and shadowing are pretty routine findings as well.  If there was something to be concerned about, the first doc would have ordered a biopsy on the lump.  A biopsy is where a needle is inserted into the lump and a sample is taken to be studied, to determine whether it is cancerous.",That way you know there are no conflicting interests.,Women's Health,Health,Women's Health,,,,information
"I am getting an MRI on my neck monday morning, what can I expect? How long does it take?",,It is noisy and you have to stay still.  It takes about 20 minutes average.,It is noisy and you have to stay still.,Pain & Pain Management,Health,General Health Care,,,,information
Is it normal to bleed during or after sex even if you've been doing it for a long time?,"I lost my virginity almost 10 months ago & I have NEVER bled. Not even my 1st time. But for some reason, this time I started bleeding & I dont know why. I wasnt hurting or anything, & we weren't doing anything that we haven't already done before. Is that normal, or should i be scared?","Bleeding during or after sex could be nothing, but it could indicate that you have cervical dysplasia.  If you're sexually active you should be having a Pap smear and pelvic exam annually.  If you haven't had one yet, this is a good reason to start now.  You need to tell your doctor about the bleeding so she can help you determine if it's something or nothing.",You need to tell your doctor about the bleeding so she can help you determine if it's something or nothing.,Women's Health,Health,Women's Health,,,,suggestion
can you breastfeed while taking thyroid medicine?,Just found out my thyroid is enlarged baby is 51/2 months,"Depends on the medication.  Yeah, I agree with the other answers: ASK both an OB/Gyn and an endocrinologist.","Yeah, I agree with the other answers: ASK both an OB/Gyn and an endocrinologist.",Other - General Health Care,Health,General Health Care,,,,suggestion
"I'm 19 with no insurance,Ware can get it for cheep and what do i need?",,Car Insurance? Get online and search for what you need and the best quote. Full coverage for newer model cars and PL&PD for older cars.,Car Insurance?,Other - General Health Care,Health,General Health Care,,,,information
Would it be healthy....?,"Instead of striving to eat my 3-5 vegtables and 2-4 fruits a day, could i just replace it with a multi-vitamin or maybe even two. So i can concentrate on things like you cant get in a pill ( ie: carbs, protein). I mean i would still be getting all the nutrients i need, but i wont be wasting my time with vegtables. I could be eat something more energizing or muscle building.","I suppose, but if you ever find out how they make the vitamins and where they actually get the minerals for supplements you will gag and never ever go back to that crap. Vitamin C for example is made by letting the sludge from sewers ferment and scraping the mold off and making it into Vitamin C. Hope you enjoy your vitamin supplements.",Vitamin C for example is made by letting the sludge from sewers ferment and scraping the mold off and making it into Vitamin C. Hope you enjoy your vitamin supplements.,Diet & Fitness,Health,Diet & Fitness,,,,information
Does anyone have trouble breathing when it is humid out?,I have shortness of breath during humid times.  I also experience burning sensation in my chest when exercising sometimes.  What is this?,"Because your lungs work on a system that diffuses oxygen through moisture on the alvioli (little nodes on the inside of your lungs) and the blood stream. This means that the oxygen has to be diffused in liquid form.

When it is really humid the air is already heavy with moisture in the form of water. This is not as easy to transfer to the moisture on the alvioli that are oxygen rich because the oxygen in the air is held in a water compound. 

When it is dry air, the moisture on the alvioli picks up the Oxygen more efficiently and it is easier to breath/",When it is really humid the air is already heavy with moisture in the form of water.,Respiratory Diseases,Health,Diseases & Conditions,cause,,,information
"In a bloodtest, what is CH levels? My husband was told his are 9 and 2 is normal?",,"CEA levels are something they check for in relation to cancer.... CEA stands for ""carcinoembryonic antigen"", and its presence in abnormally high amounts is related to some forms of cancer (lung, breast, colorectal). Other conditions may also raise CEA levels, such as pancreatitis, liver cirrhosis, and several others.","CEA levels are something they check for in relation to cancer.... CEA stands for ""carcinoembryonic antigen"", and its presence in abnormally high amounts is related to some forms of cancer (lung, breast, colorectal).",Other - Diseases,Health,Diseases & Conditions,,,,information
Please help!?,"My period came a week and half early and its alittle different than usual. Its kinda like dark brown or sometimes dark pink, and it look alittle more like discharge with clots. Does anybody know what that means? Or why it came early? Could it be implantation bleeding?",dont worry i get that. its jus the blood the clotted together before leaving the vagina. no biggie. just clean it away. periods come early all the time so dont b a frettin. jus chill,jus chill,Women's Health,Health,Women's Health,,,,suggestion
sweaty hands?,i get sweaty hands i think when im excited.but my bf finds it annoying cause i sweat alot when i am excited and he cant hold my hand cause im all sweaty.also if im holing somethink it gets covered in sweat.is there anythink i can do to get rid of it.,"my mom has a disease that causes severe presipartion also im not sure of the name for it. but, she got sugery where they disconected a nerve that causes the excessive sweating (its somewhere like under your arm im not exactly sure ), i think it was a same day surgery so it isn't that major. e-mail me and i can give you more information when i see my mom..",my mom has a disease that causes severe presipartion also im not sure of the name for it.,Women's Health,Health,Women's Health,,,,experience
My face is a VERY pale--why?,"I was told (but never tested for it) that i was anemic and needed to take iron pills ---my mom made me go to the doctor when i was much younger because of how pale my face was. Well, i have been taking iron pills and i am so pale its awful...every mark shows up on my face...what can i do to fix this--besides the obvious---tanning.",That's just the way your body is. TO change it ask Michael Jacson for his doctors number.,TO change it ask Michael Jacson for his doctors number.,First Aid,Health,General Health Care,,,,suggestion
Is it normal to bleed during or after sex even if you've been doing it for a long time?,"I lost my virginity almost 10 months ago & I have NEVER bled. Not even my 1st time. But for some reason, this time I started bleeding & I dont know why. I wasnt hurting or anything, & we weren't doing anything that we haven't already done before. Is that normal, or should i be scared?","see a doc...thoug for me when i lost my virginity i dint bleed on the action after it was broken  i bleed later, actuallly the next day dont know why.",see a doc...,Women's Health,Health,Women's Health,,,,suggestion
whats  the  highest  blood sugar can  go to?,,"Each individual person will tolerate elevated blood glucose levels differently. Check your blood sugar regularly. 
In general, most sources will say that anything over 250 is reason for concern and would warrant a call to your doctor. Anything over 300, definitely deserves a call or even a trip to the ER if your hyperglycemia symptoms are severe enough. 
Most meters will give you a reading of ""HI"" or ""HIGH"" if your blood glucose level is elevated above 500. 
As always, anytime you feel you are having a high sugar reaction (hyperglycemia) or a low reaction (hypoglycemia), contact your doctor. Better safe than sorry...

Good luck and best wishes...","In general, most sources will say that anything over 250 is reason for concern and would warrant a call to your doctor.",Diabetes,Health,Diseases & Conditions,,,,information
if a pregnant women is taking high blood pressure pill will it hurt the baby?,,Definitely.  The hypertension during pregnancy should be handled by the gynecologist and the physician for the safety of the mother and child.  So consult the doctor.,So consult the doctor.,Women's Health,Health,Women's Health,,,,suggestion
what is the average healing time for a compound fracture of the tibia and fibula?,i had a rod inserted in my leg from knee to ankle within a couple of days of the accident.  was told i didnt need a cast as rod was like an internal cast.  was ran over by a forklift at work. spent three days in hospital and am now home recoverying.  i was just wondering at what point should i start physical thearapy and get to start walking.  it is now going on just over 30 days since the accident.  anyone else with the same type of break.???,not sure but just be glad you didn't break the femur that bone takes like 6months or more.,not sure but just be glad you didn't break the femur that bone takes like 6months or more.,First Aid,Health,General Health Care,,,,information
What causes Asthma?,"Get this I have asthma and people have said for a long time that its the constricting of the air ways. When I take this new stuff called Mucenex it clears me up so much better than Advair and the Inhaler. My airways seem open but there seems to be some bacteria that creates mucos and thats what causes me to not get oxygen. Is there a cure for that, is that even considered asthma?","Asthma is a disease of the human respiratory system in which the airways narrow, often in response to a trigger such as exposure to an allergen, cold air, exercise, or emotional stress. This narrowing causes symptoms such as wheezing, shortness of breath, chest tightness, and coughing, which are the hallmarks of asthma. Between episodes, most patients feel fine.

The disorder is a chronic inflammatory condition in which the airways develop increased responsiveness to various stimuli, characterized by bronchial hyper-responsiveness, inflammation, increased mucus production, and intermittent airway obstruction. The symptoms of asthma, which can range from mild to life threatening, can usually be controlled with a combination of drugs and lifestyle changes.","Asthma is a disease of the human respiratory system in which the airways narrow, often in response to a trigger such as exposure to an allergen, cold air, exercise, or emotional stress.",Other - Diseases,Health,Diseases & Conditions,,,,cause
IUD question about partners size?,"Does the chance of an IUD moving or becoming displaced increase with the size of your partner? To be more specific, if your partner is large will this cause a problem with a plastic hormone IUD?","No. An IUD is implanted in your uterus, and is designed to stay in place with physical activity. Your partner's penis will not be entering your uterus (it is anatomically impossible), so you need have no worries about it dislodging. However, an IUD will not protect you against sexually transmitted diseases, so use a condom unless you have documentation about his medical history of being HIV, herpes, syphyllis, chlamydia, etc. negative.",No.,Women's Health,Health,Women's Health,,,,information
o.c.d mental health?,do any one  have o.c.d out there please let me ne  i hav a frend who dos,"Yes, I have two friends that have OCD.  One has a very mild form, the other is pretty much debilitated because of it.  Normally, a person repeats certain actions over and over, such as obsessing with hand washing, locking doors, making sure everything is in its place.  A mild form can be taught certain things to help overcome, but those seriously afflicted usually need some sort of medication along with therapy.","One has a very mild form, the other is pretty much debilitated because of it.",Mental Health,Health,Mental Health,,,,experience
chicken pox?,How long does it take for them to clear??,citrus,citrus,First Aid,Health,General Health Care,,,,information
if i have 1 paracetalmol everyday with a gap of 24 hrs will i get overdosed or is it ok ?,,Paracetamol is toxic to the liver but if only 1 tablet a day which is equivalent to 500mg it's okay. The maximum dose of Paracetamol is 4 gm or 4000mg in 24 period.,The maximum dose of Paracetamol is 4 gm or 4000mg in 24 period.,Other - Health,Health,Other - Health,,,,information
How long is the contagion period of gastroenteritis?,,I was told by my doctors that it was seven days. To be on the safe side use different towels and try not to sneezze in front of others. It is an airborne disease!,To be on the safe side use different towels and try not to sneezze in front of others.,Infectious Diseases,Health,Diseases & Conditions,,,,suggestion
How do i lose the weird fat on my back?,"I have always had fat on my arm and tigh but i looked good. But now, i'm gaining a bit of fat around my belly (which i can't suck in anymore) and the fat on my back, under my bra looks hedious. Whenever i see it in the mirror, i get revolted with myself. I would take a POISION, if i have to if i can get rid of this ugly thing. please help me :((((",well crunches are really good because they work on your stomach and back so do crunches,well crunches are really good because they work on your stomach and back so do crunches,Diet & Fitness,Health,Diet & Fitness,,,,treatment
Whats a good way to remember to take your medicine?,I tried a note on the fridge and it never worked.,"the best thing to do is to not to think much...just ..open uor medicene pouch and have it
or set reminder in your cell phone...",the best thing to do is to not to think much...,First Aid,Health,Health & Well-Being,,,,treatment
Eye really red after sleeping with contacts on.?,"My eye has been really red for the last couple of days since I slept with my contacts on.   I have done this a number of times in the past, but, have never had an issue. 

I am going to see  a doctor, but, wanted to hear if others had had a similar experience.  Also, should I see an Opthomologist, or would a Optometerist do?    

I wear bi-weekly soft lenses (Acuvue 2), and both my eyes have a power of under -2.0.   I'm religious about changing them every other week.","Contact lenses are good as long as it is germ and protein free.  The reason for your eye redness is that your contacts are already accumulating proteins thus preventing oxygen from flowing in your eyes which results to redness.  I do not recommend using contacts that are left in the eye longer than a week.

See an ophthalmologist to check your eye for any infection.  Optometrists only prescribe lenses. They cannot give medical prescription.",See an ophthalmologist to check your eye for any infection.,Other - Health,Health,Other - Health,,,,suggestion
"My girlfriend has a white growth on her eye, what is it?",It isnt a cataract.  She was born with it and its a small glob of white on the edge of her retina.  It doesnt impair her vision but is noticeable.  Shes lived with it for 23 years so its not bothersome.  What are some ways to remove this?  Surgery?? Laser?  Are the risks in removing it worth the reward?,"It's hard to tell from your description what it is exactly.  If she really wants to know what it is, she should ask her eye doctor, who will have it written in her chart.  If it isn't bothersome and doesn't have any potential to affect her vision, there is no point in having it removed.  The surgery will definitely have more risks and I can't think of any rewards.","If she really wants to know what it is, she should ask her eye doctor, who will have it written in her chart.",First Aid,Health,General Health Care,,,,suggestion
what is Mono Sodium glutamate? Is it good for health?,,"MSG is used as a ""Flavor Enhancer"", Used to Magnify Flavor, Without Actually Contributing to the Flavor of the Product, By Manipulating the Hydrolysis of HVP (Hydrolyzed Vegetable Protein) One Can Increase the Proportion of MSG (So it Might Be Hidden In HVP), I don't Think it is Good for you, Glutamine is a Stimulatory Neurotransmitter In the Brain, it is Also One of the Amino Acids Coded for In DNA.","MSG is used as a ""Flavor Enhancer"", Used to Magnify Flavor, Without Actually Contributing to the Flavor of the Product, By Manipulating the Hydrolysis of HVP (Hydrolyzed Vegetable Protein) One Can Increase the Proportion of MSG (So it Might Be Hidden In HVP), I don't Think it is Good for you, Glutamine is a Stimulatory Neurotransmitter In the Brain, it is Also One of the Amino Acids Coded for In DNA.",Infectious Diseases,Health,Diseases & Conditions,information,,,information
Pap Smears?,"Does anyone that's not a virgin think that pap smears hurt???
I was just wondering because alot of girls that I know who are not  virgins say that they don't hurt that their just uncomfortable.
I'm a virgin & it hurts so much when I have them done would it not hurt if I wasn't a virgin???","different people have different 'feeling' or the extent of soreness n the 'routine' practice by doctors may be varies as well, so don't worry even if its going to hurt since the pap smear is such an important routine test that ladies have to had, after all its just a short while of uneasiness n its for the betterment of yourself !","different people have different 'feeling' or the extent of soreness n the 'routine' practice by doctors may be varies as well, so don't worry even if its going to hurt since the pap smear is such an important routine test that ladies have to had, after all its just a short while of uneasiness n its for the betterment of yourself !",Women's Health,Health,Women's Health,,,,information
what is the treatment for post nasal drip(PND)?,"i have post nasal drip for four years.
i have seen many doctors and tried many medicines.
but nothing helped.
doctors advise me operation.
should i opt for operation of my polyps?will it help?","If 4 years of medication & various doctors have not cured you of PND, then it is probably wise to seek surgery.

Depending on your case, a polypectomy is relatively easy with little or no post-op complications (including your recovery from anaesthesia).

It is best that you go to a trusted ENT surgeon, talk to him/her about the pros and cons of the op, discuss the pre-op requirements as well as the post-op care before you decide on anything. Also, find out the success rate of that particular surgeon, as well as the success rate of the op in curing PND.","If 4 years of medication & various doctors have not cured you of PND, then it is probably wise to seek surgery.",Allergies,Health,Diseases & Conditions,,,,suggestion
Worried about the Bird Flu?  I'm not.  See why.?,"With the latest news about a 15 year old girl dying of the bird flu in Iraq, we now know that it can indeed affect humans.  There's no drug on the market that will help today.  I use Transfer Factor.  It helps add immunity data to my immune system.  It's not a drug but it is a natural molecule that the FDA does not restrict.  The formula I use is sourced in the USA and is completely safe.  I haven't suffered from a cold or flu in over three years!  Take this and you'll be as ready as possible in case the Bird Flu excapes the Iraqui borders","To think that if you can avoid bird flu by not eating birds will surely mean you will be one of those that die from the next pandemic.  The bigger concern should be over what/when the next pandemic will hit, maybe it will be bird flu, but maybe not.","The bigger concern should be over what/when the next pandemic will hit, maybe it will be bird flu, but maybe not.",Infectious Diseases,Health,Diseases & Conditions,,,,information
How likely is it to get a heart attack from too much stress?,,very likely.stress kills,stress kills,First Aid,Health,General Health Care,,,,information
Anyone tried a chinese medicine called 'Emperor' for men?,,"No, but I am skeptical of some of the Chinese products along with many of so called Sex Help products you will find in magazines etc.
Most of them are harmless but also ineffective as well. I have found many of Chinese Sex products contain only simple herbs and ingredients that do not really help.
This not to say I do not believe that some Chinese Medicines do not work etc., but be careful and have the ingredients checked out before using -know what it is your taking - check them on the Internet. Know what you putting into your body!",Know what you putting into your body!,Men's Health,Health,Men's Health,,,,suggestion
Has anyone had ECTs for depression?  How effective was it for you?,"I had a real bad experience with a counselor and I don't plan going that route again.  Meds seem to help some, but I still feel that my depression is disabilitating.  I have heard that Electro Convulsive Therapy is the best therapy there is as far as results...  I'm wondering what people who have gone through it think.  Was there any negative side effects?",I've had it but it didn't seem to help with my depression. As a matter of fact I don't know why but it seemed to make me even more withdrawed. I don't think that helped much but it was from expierence,I've had it but it didn't seem to help with my depression.,Mental Health,Health,Mental Health,,,,experience
How do I know which chemotherapy would be the best for me?,I had colon & bladder cancer surgery 5 months ago.,"clean geopathic stress-learn about it, do a search","clean geopathic stress-learn about it, do a search",Cancer,Health,Diseases & Conditions,,,,suggestion
What is the difference between left brain dominance and right brain dominance?,Is it true that more men than women are right brain dominance and why is that? Could someone possibly give me a specific answer to this?,"the right side of your brain is thought to be involved with creativity whilst the left is thought to be logic based, therefore an artistic person would be said to be right brain dominant and vice versa.  Incidentally the two halves are linked by a channel called the corpus collosum and both sides act to a degree in tandem. Women have been shown to have greater activity in the right side of their brains, proven by MRI scans (magnetic resonance indicator). It has been suggested that from primate times there was a greater inclination toward the right side in women due to evolotionary pressure to nurture and be compassionate, conversely males were more inclined to hunt and those males with greater sense of logic were more succesful. This can be seen to this day as women are far more able to multi task than men are, i know, the bank fired me because i couldnt talk and count out money at the same time. Result= £1400 down in the space of a month. What a bummer",Result= £1400 down in the space of a month.,First Aid,Health,General Health Care,,,,information
"vaginal cancer, how is it possible?",how can a women that has not had any kids get vaginal cancer? how is it caused by?,vaginal cancer is not caused by having kids you get cancer from cells going haywire and growing too fast. you can get cancer on any part of your body.,vaginal cancer is not caused by having kids you get cancer from cells going haywire and growing too fast.,Cancer,Health,Diseases & Conditions,,,,cause
I was taking Cipro and didn't know i was pregnant could that hurt the baby?,,"Antibiotics such as Cipro(floaxin),Augmentin and others have not been shown to have any negative effects on the fetus.","Antibiotics such as Cipro(floaxin), Augmentin and others have not been shown to have any negative effects on the fetus.",Women's Health,Health,Women's Health,,,,information
What is Fetal Alcohol Syndrome?,,"Fetal alcohol syndrome (FAS) is a condition characterized by abnormal facial features, growth retardation, and central nervous system problems.  It can occur if a woman drinks alcohol during pregnancy.  Children with FAS may have physical disabilities and problems with learning, memory, attention, problem solving, and social/behavioral problems.

When a pregnant woman drinks alcohol, so does her unborn baby.  There is no known safe amount of alcohol to drink while pregnant and there also does not appear to be a safe time to drink during pregnancy either.  Therefore, it is recommended that women abstain from drinking alcohol at any time during pregnancy.  Women who are sexually active and do not use effective birth control should also refrain from drinking because they could become pregnant and not know for several weeks or more.",Women who are sexually active and do not use effective birth control should also refrain from drinking because they could become pregnant and not know for several weeks or more.,First Aid,Health,General Health Care,,,,information
Chest Pains?,"Female, 24, Puerto Rican, hot tempered, bipolar with chest pains in the center of breasts, down thru rite shoulder/arm, some in leg.  I am taking Sulfamethoxazole/Trimethoprim  800mg, doctor said it has side effects of bones and joints aching, but I advised her of my anxiety attacks and she did nothing, or prescribe anything for, I'm also taking Oxycodone 500mg and Doxycycline 100mg.  What could be going on?","At your age, and with the description of symptoms, I would advise an ECG, and if that is normal, the symptoms you are having most likely are due to stress induced anxiety.  An echocardiogram may help by eliminating the possibility of mitral valve prolaps, a common finding in young females with your symptoms.  Therapy is your next step.  Good luck and good health.","At your age, and with the description of symptoms, I would advise an ECG, and if that is normal, the symptoms you are having most likely are due to stress induced anxiety.",Women's Health,Health,Women's Health,,,,cause
What are the chances of a 19 year old girl having a heart attack?,,"Not to scare you, but heart disease and heart attacks are not prejudice against age or gender. If you are having chest pains or symptoms of a heart attack you better be going to the ER or calling a doctor. 

People tend to think that it won't happen to them, but that is the WRONG thing to think

I wish you the best of luck!",If you are having chest pains or symptoms of a heart attack you better be going to the ER or calling a doctor.,Women's Health,Health,Women's Health,,,,suggestion
how long will it take for birthcontrol to leave my body?,"in the past i had never felt odd when i came off of birthcontrol, ive come off of it a few different times in my life. every time my body was always on the same cycle.
but now ive come off of it and its messing my whole cycle up.
so my question is how long until its fully out of my system? its already been like 3 months.",a,a,Women's Health,Health,Women's Health,,,,information
"if someone who you're living with have flu, soon or later you'll get that flu from them.?",why is that? and what would you do to prevent it from happening?,"Probably, but if you follow the suggestions of the good answers here, might help keep you from it. The only thing I'd add, is to wash their dishes with a cap or two of bleach in the water, and make sure you don't pick up a glass they've used and drink after them.","The only thing I'd add, is to wash their dishes with a cap or two of bleach in the water, and make sure you don't pick up a glass they've used and drink after them.",Infectious Diseases,Health,Diseases & Conditions,,,,treatment
Is it weird to ask my doctor if I can get a MRI done?,I am 21... Since middle school I've always said I don't feel right. I use to joke about a brain tumor but sometimes I think I really do have one.Lately I have had more and more headaches like 4 times out the week that sometimes don't go away with Medicine. my vision is good except one eye is 20/20 and the other is 20/40. You don't usually see that. I tend to get dizzy a lot or my vision gets a little cloudy. Should I ask my psychian can I get a MRI just for a check up????,"Go ahead and ask, no question is dumb for the doctor.","Go ahead and ask, no question is dumb for the doctor.",Other - Health,Health,Other - Health,,,,suggestion
How can you tell when someone is showing signs of Schizophrenia vs. Paranoid Personality Disorder?,,"First off, there ARE known neurological differences in people with Schizophrenia--these include increased levels of the neurotransmitter Dopamine and in some cases, enlarged ventricals, among others.  If someone is having intense delusions or hallucinations, it may be Schizophrenia.  People with Paranoid PD usually do not have hallucinations.","First off, there ARE known neurological differences in people with Schizophrenia--these include increased levels of the neurotransmitter Dopamine and in some cases, enlarged ventricals, among others.",First Aid,Health,General Health Care,,,,information
Could it be serious?,I have asnipp in my back. i have been born with that snipp but now it is really itching.what could it be?,"i don't really know what that is but you should talk to your parents & doctor, and pray!! so God will heal you!!
i'll be praying for U!(even though i have no clue who U R!)
keep your hopes up!",so God will heal you!,Women's Health,Health,Women's Health,,,,information
Why the 10% of saturated fat in most of the nuts not considered harmful for health? Why they good for heart?,Can I eat nuts while my colistrol level is at the 220's?,"avoid saturated fats...and yes have nuts,,,,they have good fats and protiens","and yes have nuts,,,,",Diet & Fitness,Health,Diet & Fitness,,,,suggestion
is it ok if i skip a month of my period if i got it last year?,ok well i got my period the summer b4 i went 2 8th grade and now i'm in 9th so is it ok?? its almost the end of november and i still didnt get my period!!! it was exactly month on the 12th that i didnt hav my period so i'm about a week and 2 days late is that ok??,no go see a doctor,no go see a doctor,Women's Health,Health,Women's Health,,,,suggestion
Dizzyness?,"Whenever I have been sitting for a while staring at something, or just when I am walking around, I kind of have dizzy spells. I can't see for about twenty seconds because my eyes get filled up with little pixel-like things. They are gray squares that go and fill up my eyes, a few pixels at a time. Once while this was happening, I closed my eyes and I went into a little sleep-like stage for a minute until I realised that I was just standing there. Does this happen to everyone, and if not could it be a health problem?","sometimes if i have been laying down for a while and get up, i feel dizzy and can't see for a few seconds.  after it goes away i feel fine.  i have heard that sometimes dizzyness is caused by low blood sugar or blood pressure.",i have heard that sometimes dizzyness is caused by low blood sugar or blood pressure.,First Aid,Health,General Health Care,,,,cause
can computers give you cancer on your eyes and if it can who made the study?,,yes it can,yes it can,Cancer,Health,Diseases & Conditions,,,,information
I sleep but I don't dream. Is that even possible?,"I say I never have dreams, but my wife says I do or my mind would go crazy due to lack of resting my mind. I say I sleep but I don't dream. I wake up rested but I always feel like it was a waste since I didn't dream anything.","Yes, because I have not dreamed as far as memory is concerned","Yes, because I have not dreamed as far as memory is concerned",Mental Health,Health,Mental Health,,,,information
I was exposed to TB and I want to know does that mean I actually have TB like someone who is active?,"I'm not ashamed or anything,just curious as to what my T.B status is.Thanks...","Hi there...

I could not tell you for sure but I have taken some EMT classes and here is what I know.  Just because you are exposed does not mean that you necessarily have TB but there is a really good chance that you probably would.  My best advice to give ya is go to a free health clinic and get tested.  I really hope that everything turns out okay!!!

Thanks and hope this helps ya!",Just because you are exposed does not mean that you necessarily have TB but there is a really good chance that you probably would.,Respiratory Diseases,Health,Diseases & Conditions,,,,information
When they say vitamins and minerals - what are minerals...?,"Specifically, how are they helpful to the body?
Thanks","Consult a periodic table of the elements where you will see all the elements.  Minerals are inorganic elements.  Of the 92 naturally occurring elements, the 14 minerals that have been shown by research to be essential to human health are: calcium, chromium, copper, fluorine, iodine, iron, magnesium, manganese, molybdenum, phosphorus, potassium, selenium, sodium and zinc. Iron (Fe) is a structural part of the heme portion of hemoblogin, the protein in ethrocytes (red blood cell).  Electrolytes are the elements necessary for electrochemical activity in the  body such as nerve impulse transmission. The positive (cations) Sodium (Na), Potassium (K), Magnesium (Mg) and Calcium (Ca) and the negative ion Chloride (Cl) are balanced in the body.  Bicarbonate HCO3 and Phosphate PO4 also function as negative ions and buffers.  Some minerals are stored in the bones and function to support the structure.  If you look for books on human physiology in the library, you will find all the functions of minerals in the body.",Consult a periodic table of the elements where you will see all the elements.,Other - Health,Health,Other - Health,,,,suggestion
How to make nice rapport with the Nursing staffs while in doing medical residency? Any special tips for FMGs?,"I understand daily greetings, smiling,wishing for special days, being co-operative, poilite ... all these are universal in making good rapport with anyone. Cutting jokes, taking part in light talks regarding regional, colloquial issues help a lot ... but it's difficult for foreign med. graduates(FMGs)to break the barriers intially despite their honest wishes to do so. During the steam-rolling of residency where is the time to expend to get/feel the local pulse?","There is not much time to ingratiate yourself in the culture, so you are up for a challenge.  My guess though, is that you will do just fine.  You are unique because you are actually thinking about the importance of establishing a good rapport.  That puts you 10 steps ahead of all the other residents.  Just relax, don't try too hard, be polite, and don't hit on the cute nurses!","There is not much time to ingratiate yourself in the culture, so you are up for a challenge.",Mental Health,Health,Mental Health,,,,information
I read that eating lots of nuts can combat depression how does it work and why?,"I thought ok sounds like complete bollocks but I'll keep my mind open, I ate packet after packet of nuts and i still feel suicidal, so where is the flaw in this? Have i disproven this? I eat right i sleep right and yet, I exersize, I won't be sleeping tonight cause of all the god damn nuts rolling around my stomach.",It won't change your feeling of depression but it might brighten up the day for the guy you are teabagging!,It won't change your feeling of depression but it might brighten up the day for the guy you are teabagging!,Mental Health,Health,Mental Health,,,,information
what is the normal number of heart bet for aperson in the mid of fifties?,,Try the info on the CDC site below:,Try the info on the CDC site below:,Heart Diseases,Health,Diseases & Conditions,,,,suggestion
what are some nat. remdies for hot flashes ?,menopausal hot flashes,"Sex and lots of it. That is a fact,ask your doctor.",Sex and lots of it.,Women's Health,Health,Women's Health,,,,treatment
can you eat tomatoes and other foods with small seeds if you have diverticulitis?,,"No.  My sister has diverticulitis and can't eat any nuts or anything with seeds.  They can get caught in the small pockets and cause infection and severe pain.  I grow a type of tomato that has a lot of meat and very few seeds.  It is called a Russian Imperial.  She just removes the few seeds and can then eat the tomato.  Do not eat strawberry's, blackberrys, rasberry's or anything that you cannot remove the seeds.",They can get caught in the small pockets and cause infection and severe pain.,Other - Diseases,Health,Diseases & Conditions,,,,information
How do you get rid of a really bad earache?,,"Pour a small amount of hydrogen peroxide inside the ear then quickly flush it out. If you pour too much in or you leave it in too long, it may cause ear damage. only about 1 second!","If you pour too much in or you leave it in too long, it may cause ear damage.",Other - General Health Care,Health,General Health Care,,,,information
if i masturbate too much will my penis get any smaller?,,If u talking about ********** no,If u talking about ********** no,Men's Health,Health,Men's Health,,,,information
My husband had an important meeting today but he is now complaining of a pain inbetween his shoulder blades?,and he has said he can't lean forward comfortably.,stress can cause it. Tell him to take some deep breathes and try to relax. If that doesn't work tell him to take some Ibprophine with a cup of warm tea.,stress can cause it.,Pain & Pain Management,Health,General Health Care,,,,cause
Women only please.....?,ok my menstrual is very regular....untill about 2 weeks ago......I have not started my period but i have been spottin between periods something i have never done before and it has been happening for the entire month of november....yes there is a chance i could be pregnant because i live and have unprotected sex with a man....the blood that I am spotting is dark am i pregnant or is something wrong......please help......i cant go to a doctor yet so if you could just tell me if it has happened to you.....and what it could be and if its fixable,"Yes the same thing happened to me. I was spotting, and even cramping alittle. Sure enough I was pregnant.  It was exactly 2 weeks after I had my period, and I knew something was up because It wasn't time to start my period again. I was on vacation ( which was when I concieved) and it started like the next day. I learned that sometimes there is bleeding and cramping as the egg implants. So Congrats!",Yes the same thing happened to me.,Women's Health,Health,Women's Health,,,,experience
