subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
"Why do animals which are drinking dirty water are not affected by any disease, but human being get affected?",,"The same reason americans get sick in mexico for drinking the water, while locals do not.

Our immune system is not as strong, because we are not used to it.","The same reason americans get sick in mexico for drinking the water, while locals do not.",Other - Health,Health,Other - Health,,,,information
is psychiatry covered by insurance?,,"Most insurance plans will cover mental health care including psychiatry.  Many will also have preferred providers.

Be aware that most plans also have a 'Cap"" on how much they will pay for mental health care over your lifetime.    This varies from plan to plan.

You likely need to get a copy of you plan and see what it covers and if there are any limitations [which there likely are]",Many will also have preferred providers.,Women's Health,Health,Women's Health,,,,information
does anyone know why urine split into two or more parts when passing it?,"sometimes when i pee, it splits into several parts. why? i'm a 36 year old man",something is blocking your urethra whether you have a kidney stone or sometimes after ejaculation seminal fluid will harden in the urethra and cause your urine to go in all different directions. you will know if it is a kidney stone or a sexually transmitted disease if it also stings when you urinate. best bet is to see your doctor.,best bet is to see your doctor.,Men's Health,Health,Men's Health,,,,suggestion
my daughter has a water infection and is taking trimethoprim suspension 50mg what is the medicine for?,,"its an  anti-infective . used for urinary tract infections. generally not for children under 12,  or pregnant women as it is  a class ""c"" risk. hope they told you to keep her hydrated as possible ( drinking lots and lots of water / cranberry juice. )","generally not for children under 12,  or pregnant women as it is  a class ""c"" risk.",Alternative Medicine,Health,Alternative Medicine,,,,information
is there an article written about the difference between checking bp with patients sittiing or standing?,,"It's extensive.

If my search doesn't display, I used the following string:

blood pressure measurement standing sitting","If my search doesn't display, I used the following string:",Other - Diseases,Health,Diseases & Conditions,,,,information
how do i know if a small growth on the penis is an STD?,STD,"foolin around with men? did he have sex with multiple partners? are u homosexual? a penis growth is caused by the upper dorcimus in the lower regions of the intestin, a growth could mean that ur shooting blanks and that a penis amputation may occur.","a penis growth is caused by the upper dorcimus in the lower regions of the intestin, a growth could mean that ur shooting blanks and that a penis amputation may occur.",STDs,Health,Diseases & Conditions,,,,information
Can the radiation from a phone cause inner ear problems??,"I occasionally get an irritated inner ear. When it happens it is extremely itchy inside the canal,then the wax usually is runny.It's a viscous cycle, b/c then I HAVE to get in there. Then this causes further irritation,usually it becomes all dry & flaky & big lumps of dry wax. I have noticed it is in the ear I use my phones on & this usually occurs after I have been on the ph for extended periods of time. If I stay off the ph for a few days &  keep ear moistuised & clean (& try my hardest not to scratch inside it), it will clear up. It's scary, but I am wondering if anyone else knows could be the radiation from a ph?? Or any other possible reasons?? Does anyone else get it??","Yes, it could be fatal. Get it sorted by sticking a knitting needle in  there","Yes, it could be fatal.",Skin Conditions,Health,Diseases & Conditions,,,,information
somebody help with nausea?,"for the past three days, i've been having the worst case of morning sickness... though my pregnancy hasn't been confirmed yet (i'm waiting to miss my period first, which is due tomorrow)! though i used a condom the last time i had sex, i'm still afraid i may be pregnant!! i mean the condom may have had a hole in it and i was ovulating at that time. anyway, a week after that my breasts were very tender and then two weeks later, i'm suffering from bad nausea and vomiting and headaches. i get so lightheaded that i have to stay in bed.. the other day i could hardly get myself to walk to the door and certain odors make me so sick! i haven't told my boyfriend any of this... what is happening to me? ps: i've been feeling nausea and lightheadedness since tuesday, which would have marked my 4th week if i was pregnant (counting from last period) somebody help this is not a good feeling.... i'm 26 and never been pregnant!","your iron is low
you might have to go see your doctor for them to diagnose what you really have",you might have to go see your doctor for them to diagnose what you really have,Women's Health,Health,Women's Health,,,,suggestion
"If a person is lactose intolerant, but continues to drink milk will it effect their absorption of nutrients?",,Depends on the level of the intolerance...I used to be lactose intolerant but I kept consuming dairy...it just gives me gas now...,it just gives me gas now...,Diet & Fitness,Health,Diet & Fitness,,,,experience
"Allergies, what works for you?","I need help, every spring my allergies go crazy.  My eyes water, my nose runs, and I sneeze uncontrollably.  For those who actually HAVE allergies, tell me what works for you?  How do you, how do you stop them?  Please don't say Claritin, cuz it doesn't work for me.",allegra. you have to get them through your doctor,allegra.,First Aid,Health,General Health Care,,,,treatment
what side effects should you look for if you take aspirin and ibuprofen together?,,"Aspirin is a highly effective antiplatelet agent, ibuprofen will inhibit the antiplatelet effects of aspirin, making it nothing more than a stomach irritant, ibuprofen is only a short acting remedy for mild pain, inflammation and fever, aspirin does the same thing but works better on the pain, why would you take ibuprofen","Aspirin is a highly effective antiplatelet agent, ibuprofen will inhibit the antiplatelet effects of aspirin, making it nothing more than a stomach irritant, ibuprofen is only a short acting remedy for mild pain, inflammation and fever, aspirin does the same thing but works better on the pain, why would you take ibuprofen",Other - General Health Care,Health,General Health Care,,,,information
What is defacation?,In human body,"Taking a Number Two!

Two points please.",Taking a Number Two!,Skin Conditions,Health,Diseases & Conditions,,,,information
my cd4 is 134 how is my health?,,i have no clue,i have no clue,Women's Health,Health,Women's Health,,,,information
What are the health benefits from injesting semen?,,it shuts her up for a little while !!!,it shuts her up for a little while !,Other - Health,Health,Other - Health,,,,information
what i am saying is that have been having problems with my period since i was 15 years old its been on and off,,I to have had this problem since 12 it took til i was 25 to get a Dr to listen finally i was diagnosed with pcos(poly cystic ovary syndrome) check out this site and see if any other symptoms fit then talk to your dr about it and make them listen,I to have had this problem since 12 it took til i was 25 to get a Dr to listen finally i was diagnosed with pcos(poly cystic ovary syndrome) check out this site and see if any other symptoms fit then talk to your dr about it and make them listen,Women's Health,Health,Women's Health,,,,experience
why every time i wake up i feel i have not slept?,after i have slept a full night i fell that i didnt sleep and i feel that i wake up thinking about things without being conscious,You may be getting less sleep than you think. You may not be getting REM sleep. Sometimes its just stress induced but if it persits talk to you doctor.,You may be getting less sleep than you think.,Mental Health,Health,Mental Health,,,,cause
My son needs a orthodontist?,"My son needs a orthodontist but we cant come up with the $7000.00 needed and dont want to sell the house. Can you guys help me with some ideas on low cost orthodonics or schlorships or schools etc. Thanks, Jeff from Idaho",alot of times the orthodontist will work out a payment plan with you if you ask. Your insurance wont cover anything? Double check with them first.,Double check with them first.,Dental,Health,Dental,,,,suggestion
"to evaulate if someone is deaf would a person go to  ear, nose and throat Dr?",,"well, now thats an intriguing question, how should i know!?","well, now thats an intriguing question, how should i know!",Other - Health,Health,Other - Health,,,,information
what is adivan?,what is adivan for,its ativan a medication for anxiety,its ativan a medication for anxiety,Alternative Medicine,Health,Alternative Medicine,,,,information
Polycystic Ovarian Syndrome question?,Has anyone ever been able to conceive after finding out they have this?  Did it take long?  What kind of treatment did you have to go through.  What worked best for you?  I know this is a lot of questions but I just found out that this is more than likely my problem.  I have all the symptoms.  I am worried that I may not be able to have another child.  I am also worried about the other side effects of this syndrome.  If you have any information I would really appreciate it.  Thanks!!,"my daughter has this and had laser surgery to help correct the problem so far, her periods are lighter and her chances have improved by 20 percent. Go to www.healthline.com and get the answers you need.",Go to www.healthline.com and get the answers you need.,Women's Health,Health,Women's Health,,,,suggestion
is there anyway to enlarge a penis in natural and safe way?,"i am asian guy, 170 cm tall, 66 kg. penis: 12.5 cm, diameter around 2 cm.",I have never read of a safe or permanent way,I have never read of a safe or permanent way,First Aid,Health,General Health Care,,,,information
"If you were bald or going bald, would you get hair transplant surgery?",,"Is that where they cut out hair from the back of your head and stitch it on the top of your head, if so i heard some operations can go badly wrong i didnt see any pictures but they said it was painful and looked bad.

If i started to go bald id get depressed and shave it all off in spite.","Is that where they cut out hair from the back of your head and stitch it on the top of your head, if so i heard some operations can go badly wrong i didnt see any pictures but they said it was painful and looked bad.",Men's Health,Health,Men's Health,,,,information
"Does anyone know of any fat burning pills that are healthy for kids and teens, if so where can i find them?",,Never give anything like that to a kid... get them away from the TV and outside playing and it will come off... also take the shild to the doctor. If they are obese it might be a sign of a underlying illness,Never give anything like that to a kid... get them away from the TV and outside playing and it will come off... also take the shild to the doctor.,Diet & Fitness,Health,Diet & Fitness,,,,suggestion
seasickness cures?,,Ginger root.  I saw the mythbuster episode as well.,I saw the mythbuster episode as well.,First Aid,Health,General Health Care,,,,experience
how much would they charge for a nose surgery?,,"Depends on what you are having done. Anywhere from $3500 to $35,000.",Depends on what you are having done.,Other - Health,Health,Other - Health,,,,information
what is this im experiencing..eveytumr i defecate goes a fresh blood on the feces?,is this hemmoroids? my anus is so painful...how can u treat this?will this be the reasin that i cant work abroad?pls help...,I think your guess is good so try prep H. but if no help better see the doc.,I think your guess is good so try prep H. but if no help better see the doc.,Women's Health,Health,Women's Health,,,,suggestion
What is a universal symptom of lupus?,,butterfly rash.,butterfly rash.,Other - Diseases,Health,Diseases & Conditions,,,,information
"does anyone have plantar warts, do they go away?",,"They will not go away without treatment.  also very contagious if you share shoes.  Freezing works, but hurts like hell.  You can use Compound W, but it takes about six weeks of every day use.",also very contagious if you share shoes.,Skin Conditions,Health,Diseases & Conditions,,,,information
What's the best way to get whiter teeth besides bleaching?,"I've drank ice tea my whole life, and notice that my teeth are getting noticably yellow. Besides going to the dentist and getting teeth bleached, what is the best way/products for getting whiter teeth? I know over the past few years, those Crest Whitestrip type products have come out, but I'm afraid to waste the money on them. Anyone use them? Thanks for all help.",just brush your teeth really good and long.. i dont think that it really matters what kind *i use aquafresh!*,just brush your teeth really good and long.. i dont think that it really matters what kind *i use aquafresh!,Dental,Health,Dental,,,,treatment
is it ok if i skip a month of my period if i got it last year?,ok well i got my period the summer b4 i went 2 8th grade and now i'm in 9th so is it ok?? its almost the end of november and i still didnt get my period!!! it was exactly month on the 12th that i didnt hav my period so i'm about a week and 2 days late is that ok??,"Ok im also in 9th grade and have been wondering the same thing and have had this problem. I think its perfectly normal and theres nothing to worry about. Such as i have skipped a month altogether and ive always had it again, the way it was before i skipped and i was told its normal. if you are truely concerned, talk to your mother or a doctor.","if you are truely concerned, talk to your mother or a doctor.",Women's Health,Health,Women's Health,,,,suggestion
"where can I find the following herbs & how do I take them (ie-pills, etc.):?",How much will this cost me? Know of a store or website where I can find all of the herbs listed above?,"MOST HERBS CAN BE FOUND IN HEALTH STORES, OR YOU CAN GO ONLINE AND ORDER THEM. GO TO GOOGLE.COM AND LOOK FOR HEALTH STORES IN YOUR AREA!",GO TO GOOGLE.,Alternative Medicine,Health,Alternative Medicine,,,,suggestion
"Has any one used the Vacurect vacuum erection device, or any other VED.?","Has any one, who has had a Radical Prostatectomy, used the Vacurect vacuum erection device, or any other VED, and what is your opinion of each.",I've used one.. but her name was Becky,I've used one.. but her name was Becky,Men's Health,Health,Men's Health,,,,experience
Does cough medicine really work?,,"No, it's all all a lie. The goverment, the institions of learning, our families, all lie to us and now even our beloved Robitussin is a lie!!!

http://www.timesdispatch.com/servlet/Satellite?pagename=RTD/MGArticle/RTD_BasicArticle&c=MGArticle&cid=1137833646112&path=!health!healthology",http://www.timesdispatch.com/servlet/Satellite?pagename=RTD/MGArticle/RTD_BasicArticle&c=MGArticle&cid=1137833646112&path=!health!healthology,First Aid,Health,General Health Care,,,,suggestion
"is it safe, medically, for a woman expecting twins ?",this is first time and my wife is expecting for twins she's a bit afraid but happy as well .... i just wanna know is it safe if we both care about each n everything... actually i'm afraid too coz i love her and love to be a father as well.,"I am not a doctor,. Let her see a doctor.",Let her see a doctor.,Women's Health,Health,Women's Health,,,,suggestion
Does CHEWING CHEWING GUM INCREASE UR CHEEKS ?,,no.i dont think so,i dont think so,Other - Health,Health,Other - Health,,,,information
How do I stop an out of control lip rash?,"I'm having an allergic reaction to something I've eaten/drinken.  My lips have small bumps that itch, but when I put hydro-cortizone on them it burns.  It's been this way for about 3 days and now has begun to spread to the corners of my mouth and a spot on my cheek despite washing with soap and water with a different wash cloth each time.  Please help!  My health insurance doesn't start for another 2 weeks and I'm about to raid my husband's tool box to look for sand paper.",Try Blistex or some Bacitracin (antibiotic ointment).  Some people get sores or blisters and rash around the mouth from foods with lots of acid in them. AVOID LICKING YOUR LIPS!!!!!  Keep them clean and dry.  Too much oj or grapefruit juice irritates my mouth.,AVOID LICKING YOUR LIPS!!!!!,First Aid,Health,General Health Care,,,,treatment
is larynigitus contagious?,,yes,yes,Respiratory Diseases,Health,Diseases & Conditions,,,,information
how can you get tested for genital herpes?,i think i have it but not really sure. im to embarrassed to ask or get help,I would call Planned Parenthood and ask them. They might be able to do the test for you.,I would call Planned Parenthood and ask them.,Women's Health,Health,Women's Health,,,,suggestion
HPV virus and transmission?,"The virus that causes cervical cancer, i understand is transferable through sexual contact.  Right now I'm having abnormal bleeding and am concerned I have it.  My last pap smear was 10 months ago, and I am having one in two weeks.

My question is, my fiance's former girlfriend had cervical cancer, so I'm assuming she had HPV.  Would the removal of the cervix get rid of the HPV, or did she continue to have it? And then give it to him, who gave it to me...?","HPV isn't just cervix related though.  You could still have HPV even if your cervix was removed. You could get it from him, he from her, etc. They just say in girls it's very likely to get this, they are more prone to cervical cancer if they have it. You can get it with even a condom. I have HPV, I got it from my husband and I only have outbreaks when I get stressed. It's important to get tested and if positive to keep at the doctors very frequently so that you know exactly what's going on.",You can get it with even a condom.,Women's Health,Health,Women's Health,,,,information
how do you remove wrinkles from your penis. (serious)?,My penis has many wrinkles and the older I get the more wrinkles I get.,They go when you have a stiffy.,They go when you have a stiffy.,Men's Health,Health,Men's Health,,,,information
Creatine and Ripped Fuel???,So I just bought GNC creatine pills and Ripped Fuel Pills (epedephra free).  Has anyone had any experience with using these at the same time and know if its safe to use simultaneously.  Please dont respond and tell me every supplement is bad and how I should do it naturally.  Im looking for some serious feedback! THANKS,"the creatine pills work well, but i have not had the ripped fuel ones yet, but i would suggest powder over pills. Them creatine pills gave me 6 lbs of lean mass in about one month.",Them creatine pills gave me 6 lbs of lean mass in about one month.,Diet & Fitness,Health,Diet & Fitness,,,,experience
can you get the same result from an aspirin that you get with Viagra ?,,dnt b stupid.....no,dnt b stupid.....,Men's Health,Health,Men's Health,,,,information
Does sneezing cause your heart to skip a beat and/or stop momentarily?,"I wasnt able to find research on it and was wanting to know. If you find that it does, you MUST provide a link to prove it or else you will not get the best answer. Thanks in advance.","Sneezing does not cause any skipping a beat. Sneezing is to do with your lungs pressure, through which you cannot breathe when you have a cold. When the pressure rises the lungs system sends it captures extra oxygen and then sends it altogether in one go causing you to sneeze and sometimes jump. If it were to skip your heart beat, you would have heart pain for a while. It would not really give you any serious problems but it would stay for a while.","If it were to skip your heart beat, you would have heart pain for a while.",Other - Health,Health,Other - Health,,,,information
Why did i have strang tissue come out of my vagina? PLEASE HELP!!!?,I had a strange brown substance come out and of and it also looked like tissue...i dont think it could be preagnetcy..becouse my partner used a condom..he also doubled it...and i already had my pieriod a week ago..and i only had a little bit of blood it was a wierd brown color!!!! help!!!,"It's probablly old menstrual blood, sometimes there can still be some left inside the cervix after your period, it's probablly nothing to worry about. But you should call your Doctor's office anyway and talk to someone.",But you should call your Doctor's office anyway and talk to someone.,Women's Health,Health,Women's Health,,,,suggestion
"If a male masturbates_ before urine test sample is taken, can doctor detect  that the man has masturbated?",The urine test report has a column that describes the sperm count in urine.,YES HE COULD,YES HE COULD,First Aid,Health,General Health Care,,,,information
How do you know if you have appendicitis or a ruptured appendix?,,jump up. and if it hurst ..then you got appendicitis..also if you push on ur lower rigth side and it olny hurts when you take the pressure out.,and if it hurst ..,Other - Diseases,Health,Diseases & Conditions,,,,information
"When the hymen breaks, is there alot of blood?",Or does it vary from woman to woman.,"Usually not. Many times, the hymen is not intact due to exercise, athletics, horse riding, etc.",Usually not.,Women's Health,Health,Women's Health,,,,information
Sweet potato?,Is a sweet potato healthier for you than a normal potato? if so why? and if not why?,"sweet potatoes, yams, have an ingredient that is easily transformed in the body to estrogen, so they're especially good for women.","sweet potatoes, yams, have an ingredient that is easily transformed in the body to estrogen, so they're especially good for women.",Diet & Fitness,Health,Diet & Fitness,,,,information
Has anyone ever heard of kalawalla for people with MS?,Kalawalla is fern that grows in Honduras and is use to ease the symptoms of MS.,Yes I have I take it,Yes I have I take it,Alternative Medicine,Health,Alternative Medicine,,,,experience
"Is seven 10mg ambien too much, if sleep is hard to reach?","I am having difficulty going to sleep, one Ambien is not working. Is 6 or seven okay?","Don't take drugs to sleep. Check out (http://www.reducingstress.net/ )there is a lot of great content and information on the subject there.
Also the stresseraser is a great product for helping you sleep, you can find it at (http://www.buystresseraser.com ) It woks for me, you should really check it out.",Check out (http://www.reducingstress.net/ )there is a lot of great content and information on the subject there.,First Aid,Health,General Health Care,,,,suggestion
What are Pelvic Exercises for?,,your pelvis,your pelvis,Diet & Fitness,Health,Diet & Fitness,,,,information
any bipolarics out there?,"if yes,how long have u had it, do u have mania,what meds do u take, have u ever felt suicidal from it,and what meds do u take...sorry to ask so many questions but i have it according to my doc and i am scared and curious on how others cope with this?","Yeah, but first--I'm not a bipolaric. I'm a person. I have some bipolar symptoms that are controlled with medication. 
I've had it for a few years, since I injured my brain. I have seizures that cause depression and mania. I
I have had suicidal thoughts, but I am stronger for learning to overcome those thoughts and come to the realization that I am a great person who deserves a good life just like anyone else. 
You cope with by getting real about life, what's true, and what lasts. Education can help, work can help, you can do this. 
Your life is waiting.","I have had suicidal thoughts, but I am stronger for learning to overcome those thoughts and come to the realization that I am a great person who deserves a good life just like anyone else.",Women's Health,Health,Women's Health,,,,experience
Is Vitamin-B 17 can able to cure Cancer ?,,no,no,Cancer,Health,Diseases & Conditions,,,,information
my mom has gastric cancer(stomach cancer) is she going to die?,all i want is to know how long i have with my mom.,"If there is advanced cancer, then the prognosis is poor.  If the cancer is found at an early stage of development, the chances of long-term survival approaches 70%.","If the cancer is found at an early stage of development, the chances of long-term survival approaches 70%.",Cancer,Health,Diseases & Conditions,,,,information
I was wondering if anyone out here has ever had a family member with a brain anyersum?,"If so did the family member die, or have brain surgery?  What was the outcome?  Prognosis?  Has anyone ever read or heard that it is in all likelyhood hereditary?  Any info would be welcome.","My friend's sister-in-law died from a brain aneurysm.  It was very sudden, no symptoms - she just walked outside her house & collapsed on her front porch.  She was only in her mid-20's & everyone was really broken up about it - she had two young boys.

As far as it being hereditary, no one else in her family ever had one before or since.","As far as it being hereditary, no one else in her family ever had one before or since.",Other - Health,Health,Other - Health,,,,experience
brown discharge?,my girlfrien says she is itching and it hurts and burns,"tell her to go to the doctor and if you've had sex, don't until she knows the results.  protect yourselves if you're not",protect yourselves if you're not,STDs,Health,Diseases & Conditions,,,,suggestion
"if you drink a cold drink in hot weather, what happens to our body - homeostasis?","I know homeostasis has something to do with it. Is it that when we drink a cold drink, our core temperature decreases so the body heats up. making it more beneficial to drink warm drinks in hot weather?.",I still need a cold beer when I am mowing the lawn.,I still need a cold beer when I am mowing the lawn.,Other - General Health Care,Health,Health & Well-Being,,,,experience
What is the standard recommended daily requirement of Vitamin D3 for men and women in the age group 45 to 65?,,"The dietary allowance set by the National Research Council is 400 IU per day for all healthy individuals who have no exposure to ultraviolet light. The Daily Reference Intake (DRI) had been set at 200 IU, and it was recently tripled for people over 70 years of age, to 600 IU per day - but for everyone else, the DRI remains at 200 IU.",The dietary allowance set by the National Research Council is 400 IU per day for all healthy individuals who have no exposure to ultraviolet light.,Diet & Fitness,Health,Diet & Fitness,,,,information
Will storing condoms in a cold car ruin them?,I know heat destroys them but what about cold? It is typically 25-35 degrees at night these days.,Best to keep them at room temperature.,Best to keep them at room temperature.,Men's Health,Health,Men's Health,,,,information
why do I cough when I have eaten too much?,,Maybe you're stomach is too full and the food inside it is starting to go inside your throat.,Maybe you're stomach is too full and the food inside it is starting to go inside your throat.,Other - Health & Beauty,Health,Other - Health & Beauty,,,,cause
Please help me?,im on my period. and evrything from my waist to my thighs are in this gruesome pain. my butt  hurts and everything.lol. im cramping all over. how can i get ride of these cramps i took some talenol and its not working,Take a warm bath or use a heating pad.  Try taking Advil to calm the muscles.  I used to have mondo huge labor pains when I was younger....this would take the edge off at least.,this would take the edge off at least.,Women's Health,Health,Women's Health,,,,information
how i can grow my hieght?,i am 22 yr old guy i want to grow my hieght my hieght is to short. i use lots of methods and drugs etc. but didn't get any result,"I agree with cloin. By the way, when are you guys going to learn proper English ?",I agree with cloin.,Men's Health,Health,Men's Health,,,,information
what causes rining in the ear?,,Tinnitus,Tinnitus,Other - Diseases,Health,Diseases & Conditions,,,,cause
What is hemorroides?,,Divers-lesions.,Divers-lesions.,Men's Health,Health,Men's Health,,,,information
"If a pap test shows cancer, how quick will you get results back?",,"pap test doesn't show if you have cancer. they show only if there is any abnormal cell growth. and if your pap comes back positive for abnormal cell growth it doesn't necessarily mean that it is cancer  {usually in about 3 to 5 days}.  the doctor will usually have you come back in for another pap. at any rate the labs are unreliable at best, your test can be positive if you have a yeast infecting or something similar.",they show only if there is any abnormal cell growth.,Cancer,Health,Diseases & Conditions,,,,information
Anyone else get embarrassed when?,"Does anyone else get embarrassed when they go to the dentist and the dentist finds cavities in their teeth? I always get really embarrassed, especially if it's more than one cavity. And once, I didn't go to the dentist for a while and when I finally did go it was because I had a really bad toothache - the tooth was TOTALLY rotten and the dentist seemed shocked at how bad it was.......I was SO embarrassed that time (he also found another 3 or 4 cavities!).

But why do we get embarrassed about it? I mean I don't get embarrassed if I have to go to the doctor when I'm sick, and it's kind of the same thing! But I just feel really embarrassed when the dentist says I have cavities!","No.DOnt feel embarrassed to your dentist. Dentist are immune already seeing those any cavity problems caries and etc.everyone needs to take care of our teeth and patients are advisable for regular check-up to obtain and maintained Good oral health/hygiene. It is wrong when you visit your dentist once you already have any dental problem because the main Goal for the Dentist is Prevention. Dentist trying to prevent before it worsen.
most embarrassing if its your friends or your girlfriend/boyfriend will say: oh you have lot of cavities! and thats causes bad breath if taken fo granted.",and thats causes bad breath if taken fo granted.,Dental,Health,Dental,,,,information
If a person doesn't have CD4 on T-Helper. Would this person be susceptible to HIV infection?,Suppose there is an individual who carries a mutation such that the surface of that person's T-helper lymphocytes and macropahges only do not carry the CD4 marker. Would this person be susceptible to HIV infection? What about the secondary infections characteristic of AIDS?,"i dont think there is any healthy person who doesnt have the CD4, if you were lacking this you would probably be long dead from the flu or something.
in theory though, u would more readily go from HIV+  to full blown AIDS if u already had a depleted level of CD4 cells.
again, i have never heard of a healthy person (one not infected with HIV) who has a lowered CD4 count, or no CD4 cells at all...i would imagine that u cant live without them. hence people with HIV/AIDS die when their CD4 cells are completely depleted.","i dont think there is any healthy person who doesnt have the CD4, if you were lacking this you would probably be long dead from the flu or something.",STDs,Health,Diseases & Conditions,,,,information
Does penis enlargement hurt?,,call me,call me,Men's Health,Health,Men's Health,,,,suggestion
Where can I find lydia.com for nursing scrubs? Every time I try I get everything but scrubs.thanks.?,,"http://www.lydiasuniforms.com
next time just type medical scrubs in search
this is one of the sites that popped up",this is one of the sites that popped up,Other - General Health Care,Health,General Health Care,,,,suggestion
whatsthis??/?,whats the wieghtloss drug called hoodida or something like thet whats it do how effective is it where do ya get it from? is it avaliable in australia???,"Hi,  I have been a personal trainer and a bodybuilder for 25 years.  I have trained professional athletes in Major League Baseball, the National Hockey League, Canada National Downhill Ski Team as well as numerous bodybuilders.  I trained one person who won the North America bodybuilding championships.   I have also helped many 100’s of people lose weight, tone up and get into great shape again.  I just had one client lose 95 lbs. I have developed an excellent, easy to follow diet & exercise plan that will help you achieve your goals. I can offer my plan to you for only $20.00 US. Cash or money orders only please.  And I am David Price, 2177 – 6th Avenue, Trail, BC, Canada, V1R3B8.

Please include your age, whether you are male or female, height, bodyweight and your goals.

I will also offer you free consultation via messenger or e-mail to help you along to achieve your goals.  I look forward to hearing from you.  Take care. 

Sincerely,

David Price","I have also helped many 100’s of people lose weight, tone up and get into great shape again.",Diet & Fitness,Health,Diet & Fitness,,,,experience
diabetic nephropathy?,"I want to know details.  I went to my endocrinologist and he told me I need more vitamin D and my protein isn't going through my kidneys, but he didn't explain.  How can I make my protein go through is the insulin stopping it help me reverse it.  I don't want to die thanks bluebirdshark@yahoo.com","Hi
I have been a diabetic for 22 years and just found this website about 3months ago. This is a great website for diabetics. 
http://www.diabetesforums.com/",I have been a diabetic for 22 years and just found this website about 3months ago.,Diabetes,Health,Diseases & Conditions,,,,experience
please help me i have questions about HPV?,"how long can it talk before it is that find out that you have HPV and is it contages in anyother way other then having sex 

if i am able to get help before it gets to bad and i treat it then i no longer am efficted again till i have sex and contract it from another person right 

and if you have this STD and you dont get tested but some else does is there a way to know if that person is a carrer of the STD or not.","a long time can go by b4 u know if u have it, but usually 3 months after exposure.  there is no cure. it is a virus. u can get warts burned off but they can come back again.  even if they r not visible, u still have hpv/warts and can always spread it.  some r so small that the doc uses a special liquid n microscope to find them.  u can get, n give it just by rubbing genitals together or skin to skin contact with area. can spread it also by sharing things with an infected person (toilet seats, towels, etc..) 80% of people who contracted warts/hpv got it when there were no visible signs on the body. (warts.)  hopefully the person is honest n will tell u.  some stds by law, (NY) if contracted, the partners of the person have to be notified.",(warts.),STDs,Health,Diseases & Conditions,,,,information
"under control diabetes, bad cold w/ fever, throwing up, and feels like kidney is hurting. can that happen?","severe chest congestion, went to doctor but now worse. has anyone had kidney problems from being ill, he is taking norco for pain for back problems and advil for fever, plus cold meds, antibiotics, and inhaler. Of course we'll go to the doc again if he gets worse but curious if anyone knows of problems caused by the flu/ cold.","Getting a cold or flu is the worst thing that diabetic could get, it could last for six weeks.  If diabetes is not in control for many years, yes, you will have a renal failure and kidney will shut down and have to be on dialysis, and eventually need a kidney transplant.  I know, I just went thru all this scenario.  Diabetes is a slow killer, it messes up your organs, one by one, starting from your heart.

You need to see an endocrinologist and take care of it ASAP.","I know, I just went thru all this scenario.",Diabetes,Health,Diseases & Conditions,,,,experience
Braces i need to know about them because i am getting them!?,can you please help!!!!!,"Its not so bad sweetie. It will hurt a little a few days after they are on, and they will be sore for about a day after you get them tightened each month. Your teeth will also be lose, but its jsut because they are moving. Dont be scared about it hurting, its nothing advil cant fix. They are really worth it to have a beautiful smile.  If you dont have a soniccare toothbrush, try and get one. It really cute down on flossing time for me.",They are really worth it to have a beautiful smile.,Dental,Health,Dental,,,,information
sex during menstruation. is it ok???,"putting aside the mess. is having sex during your period bad or harmful in any way?
thank you.","Hi - It's fine. In fact, it can be better than ever! 

There are some men who think the extra 
""liquidy"" sensations feel good. If you're having an extremely heavy day, your partner could wear a condom. (and should always,if you're not in a committed relationship, of course) Regarding sex, anything that two people truly agree upon together is okay.",There are some men who think the extra,Women's Health,Health,Women's Health,,,,information
about epilepsy??,,"Chect this out to know more about Epilepsy:

http://health.yahoo.com/ency/healthwise/hw108148",Chect this out to know more about Epilepsy:,Other - Diseases,Health,Diseases & Conditions,,,,suggestion
Can Birth Control packs come in various shapes? or just circles?,"My girlfriend and I are just trying to figure out this mystery because her mom tells her that her birth control is not ""real"" and that it only regulates her period (she had a previous anemia problem)

The box that it comes in is Yasmin which i know is Birth Control but the pack of pills is not a circle, but rectangular? 

Is this normal? 

Her mom told her to tell her when she was gonna start being sexually active so she could change it to real birth control.

I just want to reassured this is just a typical motherly scare, is it even possible to have fake birth control?","Yes of course it comes in different shapes. Her mom is probably telling her lies hoping she doesn't have sex yet. If your girlfriend is worried about it that badly then tell her to take the pack to a pharmacy at the local drugstore and they will tell her the truth.

This is what Yasmin is supposed to look like in the pack - http://www.rx-2u.com/images/yasmin.gif

But also, women can take birth control to regulate their periods but still...it is birth control.",If your girlfriend is worried about it that badly then tell her to take the pack to a pharmacy at the local drugstore and they will tell her the truth.,Women's Health,Health,Women's Health,,,,information
what is the latest and best medecine for bipolar?,,This is a very good website which gives you near all info needed for this disorder.  www.BipolarManiaInfo.com,www.BipolarManiaInfo.com,Other - Diseases,Health,Diseases & Conditions,,,,suggestion
pro ana websites?,does anyone know any pro ana websites?,"Why? Are you trying to get an eating disorder? I guess we should all be looking for your question on here in a few months that says ""Help with getting over my eating disorder""....so sad.

No actually, pro ana websites teach girls how to become anorexic.","No actually, pro ana websites teach girls how to become anorexic.",Diet & Fitness,Health,Diet & Fitness,,,,information
